/home/first/Desktop/yolov8/hornet_model2_ncnn_model/transfer_process.py:141: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self._client = mqtt.Client(client_id=f"{self._cfg.client_id}-transfer")
2026-03-23 18:45:06,623 ERROR transfer MainThread MqttBridge: 连接失败: [Errno 111] Connection refused
2026-03-23 18:45:06,623 INFO transfer MainThread IotIngestUploader: → http://127.0.0.1:3001/api/iot/ingest
2026-03-23 18:45:06,624 INFO transfer MainThread === TransferProcess started ===
2026-03-23 18:45:08,625 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:10,626 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:12,628 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:14,632 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:16,634 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:18,635 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:20,636 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:22,637 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:24,640 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:26,645 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:28,648 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:30,649 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:32,656 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:34,657 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:36,658 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:38,659 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:40,661 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:42,665 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:44,669 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:46,670 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:45:48,673 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
